,FDR,fold
HP0747,6.58E-01,1.116075047
HP0748,9.14E-01,0.9718127429
HP0749,9.09E-01,1.030609885
HP0750,2.40E-01,1.20496902
HP0751,3.58E-05,1.787041555
HP0752,1.31E-03,1.801009558
HP0753,1.69E-02,1.649109988
HP0754,6.88E-02,1.732190229
HP0755,1.20E-13,3.114489152
HP0756,6.70E-01,0.9265740748
HP0757,2.05E-04,1.822311805
HP0758,5.91E-06,1.97093447
HP0759,1.27E-04,1.993726226
HP0760,1.99E-01,0.8166488636
HP0761,4.61E-07,2.419062009
HP0762,7.36E-01,1.074709279
HP0763,8.07E-02,0.773633778
HP0764,3.49E-01,1.202735884
HP0765,4.99E-02,1.460791935
HP0766,8.92E-05,1.866519975
HP0767,1.94E-05,2.115302081
HP0768,2.00E-02,1.555570562
HP0769,1.20E-02,1.888224773
HP0770,4.61E-01,1.260270959
HP0771,1.64E-01,0.7755709358
HP0772,7.30E-05,2.222235847
HP0773,8.73E-01,1.032555828
HP0774,1.30E-01,1.268582455
HP0775,2.77E-04,1.67924103
HP0776,9.96E-01,1.001840578
HP0777,1.40E-03,0.6252427602
HP0778,1.87E-02,1.554096926
HP0779,3.45E-02,0.6818307288
HP0780,2.06E-01,0.784922466
HP0781,6.47E-01,1.079225757
HP0782,4.81E-02,1.377551625
HP0783,2.26E-01,0.7850948255
HP0784,9.36E-01,0.8997146424
HP0785,9.76E-01,0.9939255672
HP0786,1.83E-01,0.8187070362
HP0787,3.82E-01,1.1625291
HP0788,5.85E-02,0.7092070238
HP0789,3.06E-03,0.5913901639
HP0790,1.17E-02,1.453389378
HP0791,4.00E-01,1.144879879
HP0792,1.27E-06,1.988527593
HP0793,7.85E-01,0.9428591233
HP0794,5.51E-02,0.7051430506
HP0795,1.38E-02,0.6434928276
HP0796,7.51E-05,0.5292106795
HP0797,4.80E-02,0.6357871127
HP0798,1.79E-02,1.527088588
HP0799,7.46E-02,1.318021921
HP0800,4.95E-05,1.833197609
HP0801,5.08E-04,1.671001076
HP0802,9.70E-03,1.492092601
HP0803,4.14E-01,1.140728107
HP0804,4.33E-10,0.409096347
HP0805,2.37E-04,0.5864214695
HP0806,2.19E-02,0.7183475081
HP0807,5.63E-13,0.4052127814
HP0808,1.04E-01,1.375327102
HP0809,6.51E-01,1.098237462
HP0810,7.69E-01,1.102338416
HP0811,4.38E-01,1.14716454
HP0812,3.13E-01,1.535337052
HP0813,5.89E-03,1.48541341
HP0814,1.23E-05,1.953655201
HP0815,1.98E-02,1.389177086
HP0816,1.91E-04,1.684068879
HP0817,4.68E-09,2.24835584
HP0818,6.13E-02,0.7048256402
HP0819,7.56E-01,0.9133965728
HP0820,9.76E-01,1.00639833
HP0821,1.61E-03,2.246951717
HP0822,1.64E-01,0.800256391
HP0823,1.38E-02,0.6996406155
HP0824,5.61E-03,0.4400441073
HP0825,2.34E-03,0.4683051524
HP0826,2.03E-03,1.65103965
HP0827,9.87E-01,0.9937028126
HP0828,1.47E-03,0.5717614974
HP0829,8.46E-06,0.529254551
HP0830,1.27E-06,0.4903464736
HP0831,2.29E-01,0.8117738216
HP0832,1.57E-03,0.5954285898
HP0833,1.73E-04,1.677171685
HP0834,8.11E-01,0.9591780248
HP0835,1.71E-01,0.6034776641
HP0836,3.91E-01,1.178703111
HP0837,6.72E-03,0.618546495
HP0838,6.30E-02,0.7567844719
HP0839,4.10E-01,1.152253645
HP0840,5.08E-01,1.135524347
HP0841,4.99E-02,1.628263064
HP0842,3.68E-01,1.457840238
HP0843,6.79E-03,1.666939843
HP0844,7.85E-03,1.559852014
HP0845,1.79E-01,1.267735835
HP0846,5.86E-01,1.490434024
HP0847,6.30E-01,0.6785955281
HP0848,2.76E-01,1.21532185
HP0849,1.72E-03,0.6363808155
HP0850,6.97E-02,0.7740755389
HP0851,4.63E-01,0.8906162617
HP0852,1.79E-03,0.6409725372
HP0853,1.86E-06,0.5252137194
HP0854,2.28E-05,2.11360672
HP0855,9.37E-01,1.028573284
HP0856,4.39E-01,0.8622284488
HP0857,8.03E-03,0.6221576769
HP0858,2.41E-04,0.5988979284
HP0859,8.47E-05,0.5777215935
HP0860,3.13E-01,0.8141254723
HP0861,9.66E-01,0.9899467865
HP0862,2.48E-01,1.205637534
HP0863,5.46E-03,0.6478360044
HP0864,5.06E-04,0.5586313572
HP0865,7.58E-06,0.4591298803
HP0866,1.79E-04,0.5231479213
HP0867,9.46E-07,2.137970511
HP0868,1.43E-03,1.616202972
HP0869,1.88E-02,1.532751967
HP0870,1.42E-17,0.08781735443
HP0871,2.93E-52,0.05782778417
HP0872,9.36E-01,0.9821079575
HP0873,6.16E-01,0.8328969279
HP0874,1.35E-01,0.7151015132
HP0875,4.37E-01,0.7963799452
HP0876,2.55E-20,0.1997133842
HP0877,6.43E-05,0.5715073962
HP0878,2.05E-02,0.701629481
HP0879,4.38E-01,0.858989057
HP0880,5.09E-02,1.337842258
HP0881,6.61E-02,1.540505949
HP0883,4.05E-01,1.155008331
HP0884,2.56E-01,1.186611941
HP0885,3.53E-02,1.673876913
HP0886,1.93E-01,0.8116933172
HP0887,8.23E-44,0.02214400392
HP0888,7.89E-03,1.470615266
HP0889,1.62E-04,1.73739964
HP0890,1.05E-08,2.326748601
HP0891,6.65E-03,0.5156280869
HP0892,2.96E-02,0.6750956052
HP0893,4.22E-12,0.3016334974
HP0894,4.82E-01,0.8933352817
HP0895,5.92E-05,0.5590359117
HP0896,6.38E-07,0.4214545708
HP0897,4.14E-04,1.837525695
HP0898,1.20E-02,1.577745463
HP0899,4.07E-01,1.17800184
HP0900,5.98E-01,1.12409893
HP0901,5.31E-05,2.051492874
HP0902,8.21E-07,2.422707391
HP0903,6.70E-01,0.8326961349
HP0904,1.58E-02,0.6520911127
HP0905,2.06E-08,0.4092649748
HP0906,4.84E-01,0.5418532016
HP0907,1.09E-01,1.25995846
HP0908,2.09E-01,1.190328259
HP0909,9.90E-01,1.002488775
HP0910,7.16E-02,1.411286708
HP0911,5.06E-02,1.687614971
HP0912,8.56E-06,0.442725603
HP0913,5.91E-06,0.4545511266
HP0914,3.83E-12,0.3477803891
HP0915,3.67E-05,0.4621882652
HP0916,1.23E-05,0.5002057266
HP0917,8.73E-01,1.030007886
HP0918,1.93E-03,0.6459256878
HP0919,7.48E-13,0.3782704312
HP0920,1.67E-04,0.4129853943
HP0921,4.39E-01,1.136923115
HP0922,1.23E-08,3.289870395
HP0923,2.38E-01,1.216094746
HP0924,7.86E-01,0.915454018
HP0925,5.86E-01,1.122196755
HP0926,8.30E-01,0.9407186667
HP0927,3.24E-10,0.4216751695
HP0928,1.14E-07,0.453868279
HP0929,8.46E-06,1.967642981
HP0930,2.38E-01,0.8074711581
HP0931,1.00E+00,1.000065451
HP0932,9.25E-01,1.022079111
HP0933,2.89E-03,1.544868943
HP0934,7.51E-05,2.19966074
HP0935,6.03E-05,1.974863309
HP0936,2.38E-01,1.319620276
HP0937,2.03E-02,1.406463786
HP0938,3.04E-02,1.442055637
HP0939,3.99E-02,1.697584356
HP0940,4.10E-02,1.367798192
HP0941,1.06E-01,0.7280648149
HP0942,3.79E-12,0.4165342524
HP0943,2.50E-11,0.3801849815
HP0944,7.19E-11,0.327163947
HP0945,8.96E-01,1.082039024
HP0946,2.88E-04,0.5617309422
HP0947,1.78E-02,0.5366799943
HP0948,9.59E-01,0.9887237178
HP0949,6.52E-04,1.643342016
HP0950,1.13E-01,1.317817174
HP0951,2.83E-07,2.26415561
HP0952,6.78E-02,1.316557534
HP0953,5.59E-01,0.8878997002
HP0954,2.65E-01,0.806898748
HP0955,5.08E-02,0.7423156005
HP0956,1.80E-03,0.5712256366
HP0957,1.29E-01,0.7897170079
HP0958,1.38E-02,0.6429003208
HP0959,1.30E-02,1.44109103
HP0960,1.10E-01,1.276410949
HP0961,3.06E-01,1.19825569
HP0962,5.37E-02,2.330088432
HP0963,1.85E-01,1.608630667
HP0964,9.63E-01,1.01547041
HP0965,2.61E-01,0.8049173268
HP0966,1.95E-01,0.7890509667
HP0967,1.22E-03,1.765291815
HP0968,4.00E-01,1.178372716
HP0969,6.02E-02,1.482249109
HP0970,2.89E-02,1.565837048
HP0971,1.50E-04,1.969007353
HP0972,1.24E-05,1.769019461
HP0973,1.60E-02,0.6674391501
HP0974,5.57E-01,1.096090285
HP0975,6.16E-01,0.9052463608
HP0976,4.82E-01,0.8713243063
HP0977,1.51E-01,1.253356448
HP0978,2.17E-01,0.817040426
HP0979,3.07E-01,0.8225734367
HP0980,6.96E-01,0.8843850141
HP0981,4.85E-01,0.684716736
HP0982,2.04E-01,1.26362018
HP0983,3.09E-05,0.5163845691
HP0984,2.07E-02,0.661238658
HP0985,6.70E-01,0.9232383083
HP0986,2.17E-06,2.100935393
HP0987,2.52E-19,7.116076046
HP0988,8.30E-01,1.058107817
HP0989,3.34E-04,1.86430289
HP0990,1.34E-03,0.5403247873
HP0991,1.71E-04,0.5177180796
HP0992,4.73E-03,0.301482035
HP0993,8.30E-01,1.03894646
HP0994,5.45E-01,0.9007987715
HP0995,8.32E-01,1.086909413
HP0996,9.41E-36,0.1562055548
HP0997,2.49E-01,1.234732256
HP0998,8.30E-01,1.058107817
HP0999,5.89E-03,1.548128726
HP1000,1.10E-01,0.6478103876
HP1001,3.39E-05,0.5020801197
HP1002,2.04E-03,0.6585043908
HP1003,5.35E-01,1.275386857
HP1004,5.27E-05,2.417026601
HP1005,2.95E-01,0.7976041507
HP1006,1.26E-02,1.526194145
HP1007,7.33E-09,2.251414568
HP1008,2.83E-07,2.252631743
HP1009,8.42E-05,2.652893051
HP1010,2.76E-02,0.6950780321
HP1011,1.01E-02,0.6723098372
HP1012,7.57E-01,0.9410118505
HP1013,2.22E-01,1.193096483
HP1014,7.89E-01,1.053559047
HP1015,1.66E-01,1.261392396
HP1016,2.39E-05,2.166481274
HP1017,8.80E-01,1.027614186
HP1018,1.43E-08,2.404480153
HP1019,1.12E-01,1.345541628
HP1020,1.46E-05,2.133396171
HP1021,9.33E-06,2.079563209
HP1022,3.41E-06,2.046268267
HP1023,3.94E-02,1.382367268
HP1024,1.66E-12,0.3652553549
HP1025,4.59E-06,0.5194176979
HP1026,5.08E-01,1.152661955
HP1027,2.31E-44,0.08397213547
HP1028,8.52E-01,0.9654836466
HP1029,2.07E-01,1.219252419
HP1030,2.02E-03,1.56951233
HP1031,1.23E-05,2.033411814
HP1032,3.77E-04,1.688476801
HP1033,1.17E-02,1.46640705
HP1034,8.93E-02,1.330095222
HP1035,2.42E-01,0.8334711717
HP1036,2.14E-03,0.5818226318
HP1037,1.15E-03,0.5650368518
HP1038,2.58E-04,0.4585338948
HP1039,9.66E-01,1.009742929
HP1040,4.15E-01,1.286083274
HP1041,1.25E-05,1.88134586
HP1042,8.45E-01,0.9638712179
HP1043,6.11E-01,0.9004958551
HP1044,9.35E-04,0.5566352001
HP1045,4.59E-05,0.4956935604
HP1046,1.95E-01,1.260457045
HP1047,2.76E-02,1.494183422
HP1048,2.08E-03,1.653896092
HP1049,1.40E-06,2.32930792
HP1050,1.14E-07,2.524517163
HP1051,4.05E-01,0.8487001112
HP1052,5.21E-02,0.7017731821
HP1053,2.43E-01,0.8196344172
HP1054,4.95E-01,1.194128125
HP1055,9.25E-01,1.023336493
HP1056,1.95E-02,1.539027942
HP1057,1.28E-01,1.297368267
HP1058,4.53E-05,0.5398664533
HP1059,5.95E-01,1.09045881
HP1060,3.88E-05,1.982559377
HP1061,5.22E-06,2.006651292
HP1062,1.61E-04,2.563660037
HP1063,1.15E-02,2.433494698
HP1064,9.60E-01,1.017375507
HP1065,4.02E-01,1.162118304
HP1066,7.80E-15,3.086430641
HP1067,5.09E-02,1.432054024
HP1068,4.26E-03,1.517749602
HP1069,2.69E-02,1.489656443
HP1070,1.15E-01,1.318102761
HP1071,2.39E-03,1.555993577
HP1072,1.24E-01,1.307383717
HP1073,5.85E-02,0.6754413664
HP1074,6.35E-01,0.9076483842
HP1075,4.02E-04,1.725519305
HP1076,6.28E-02,0.5225977646
HP1077,1.23E-05,0.5085894089
HP1078,3.70E-02,1.48411372
HP1079,7.38E-02,1.306840337
HP1080,1.65E-02,1.992789896
HP1081,4.26E-02,2.065230359
HP1082,2.45E-02,1.444915249
HP1083,7.44E-50,0.08318206337
HP1084,4.75E-04,0.5810648355
HP1085,1.39E-15,3.045095118
HP1086,9.87E-02,1.94353875
HP1087,3.13E-01,1.453765565
HP1088,5.39E-01,0.9057622706
HP1089,3.49E-02,1.396134255
HP1090,6.59E-01,1.100851633
HP1091,1.56E-03,0.5744014145
HP1092,1.82E-03,1.683136971
HP1093,8.39E-01,0.9331751843
HP1094,1.55E-04,0.515059273
HP1095,2.49E-01,1.234732256
HP1096,8.30E-01,1.058107817
HP1097,4.05E-01,0.6778168106
HP1098,2.87E-05,0.4972115144
HP1099,7.33E-09,0.4234691064
HP1100,1.25E-11,0.39143805
HP1101,3.81E-03,0.6831983498
HP1102,5.60E-07,0.5266304413
HP1103,2.90E-05,0.5773601767
HP1104,1.47E-03,1.754267828
HP1105,8.96E-06,1.959887487
HP1106,4.55E-08,2.269868112
HP1107,8.60E-01,0.9620003209
HP1108,7.37E-01,0.9315155791
HP1109,3.98E-01,0.8296333874
HP1110,7.51E-01,0.9343003301
HP1111,7.90E-01,0.9424995643
HP1112,7.32E-01,1.058640281
HP1113,8.99E-04,1.607092546
HP1114,4.91E-03,1.5113838
HP1115,2.14E-01,1.856383362
HP1116,4.49E-02,1.744389281
HP1117,2.28E-01,0.7903088274
HP1118,1.39E-03,0.5697319772
HP1119,1.28E-01,0.5158819533
HP1120,1.33E-03,0.3342690378
HP1121,7.37E-01,1.102802195
HP1122,1.23E-01,1.332495463
HP1123,9.87E-01,1.004091404
HP1124,9.35E-01,0.9804370114
HP1125,3.61E-01,0.7857761347
HP1126,8.41E-05,0.559728388
HP1127,5.47E-02,1.354651006
HP1128,9.38E-01,0.9816603967
HP1129,2.63E-01,0.8080029446
HP1130,9.58E-03,0.6301173394
HP1131,7.73E-03,0.6197572456
HP1132,2.16E-04,0.5236533052
HP1133,4.85E-04,0.5429848969
HP1134,1.02E-05,0.4630593949
HP1135,2.80E-02,0.6820950496
HP1136,6.22E-02,0.7112749643
HP1137,6.40E-01,0.9080027845
HP1138,8.69E-01,1.036621115
HP1139,4.60E-01,1.157449499
HP1140,3.14E-04,2.049897841
HP1141,7.70E-01,1.055524078
HP1142,1.15E-01,0.7270847893
HP1143,2.43E-03,0.436705298
HP1144,3.29E-03,1.542721689
HP1145,9.12E-02,1.363455024
HP1146,8.30E-01,1.047238526
HP1147,9.01E-01,0.9591494366
HP1148,3.73E-02,1.489325003
HP1149,3.15E-02,1.426777203
HP1150,9.61E-01,0.9871201267
HP1151,7.84E-01,1.064006458
HP1152,2.04E-01,0.8342794861
HP1153,6.45E-01,0.9259181292
HP1154,7.86E-03,1.580637105
HP1155,4.00E-02,1.354516561
HP1156,1.66E-01,0.8200940627
HP1157,1.51E-01,0.8141942145
HP1158,4.78E-01,0.8974925615
HP1159,1.20E-03,1.647773548
HP1160,3.45E-01,1.175757229
HP1161,5.54E-01,0.7033902388
HP1162,7.78E-01,0.9497383984
HP1163,5.79E-06,2.390295176
HP1164,1.95E-01,0.7894064663
HP1165,8.00E-02,1.336016088
HP1166,1.72E-03,1.53167229
HP1167,3.72E-37,0.1266904249
HP1168,8.02E-46,0.1164696926
HP1169,1.78E-08,2.811242339
HP1170,1.65E-05,2.408016505
HP1171,2.25E-04,1.771095766
HP1172,2.01E-01,1.276428869
HP1173,8.59E-01,1.041936052
HP1174,5.01E-38,0.1773120251
HP1175,7.09E-29,0.242244884
HP1176,2.98E-04,0.5993384377
HP1177,6.15E-45,0.06251316549
HP1178,8.18E-23,0.2686642755
HP1179,5.45E-24,0.2591409949
HP1180,2.50E-17,0.3070377596
HP1181,1.32E-03,1.687666027
HP1182,4.90E-07,0.4458148985
HP1183,4.16E-01,0.8779706214
HP1184,2.91E-02,1.530760824
HP1185,6.65E-03,1.579200181
HP1186,2.26E-46,0.0913971667
HP1187,1.79E-18,4.624293014
HP1188,1.32E-12,2.997651774
HP1189,2.71E-01,0.8325152026
HP1190,8.73E-02,0.7687409553
HP1191,5.58E-03,1.609441211
HP1192,2.52E-01,2.256938737
HP1193,2.25E-03,0.5959677646
HP1194,7.91E-01,1.056145848
HP1195,1.23E-01,0.7476731893
HP1196,3.60E-01,0.7887109232
HP1197,7.48E-01,0.9176541262
HP1198,4.79E-01,0.8695039694
HP1199,6.52E-01,0.8498490125
HP1200,6.98E-01,0.8619553035
HP1201,6.84E-01,0.8837150566
HP1202,4.60E-01,0.8256813133
HP1203,8.26E-01,1.067460146
HP1204,4.28E-01,0.5897927444
HP1205,3.28E-01,0.6595550444
HP1206,5.84E-01,0.8791998804
HP1207,3.03E-02,1.354675413
HP1208,6.70E-01,1.074598902
HP1209,7.32E-01,0.9291352212
HP1210,5.70E-05,0.4918645469
HP1211,1.91E-12,0.1595446522
HP1212,6.63E-07,0.2554195405
HP1213,9.42E-03,0.682935825
HP1214,8.66E-09,2.222129554
HP1215,3.49E-02,1.935642933
HP1216,9.40E-01,1.024618896
HP1217,4.07E-01,0.8787627778
HP1218,8.69E-01,1.032172882
HP1219,8.84E-01,1.073918236
HP1220,1.06E-11,2.954701256
HP1221,1.49E-09,2.78812194
HP1222,6.03E-09,2.559287366
HP1223,1.95E-02,0.6569522923
HP1224,7.62E-01,1.058163063
HP1225,5.24E-06,2.036438511
HP1226,5.29E-02,1.643375646
HP1227,7.03E-02,1.927745662
HP1228,2.32E-04,1.766329267
HP1229,6.14E-01,0.9194529675
HP1230,3.95E-01,0.8760290793
HP1231,2.27E-02,1.86842845
HP1232,1.96E-02,1.667749522
HP1233,4.48E-03,0.5891831391
HP1234,8.49E-06,2.035051479
HP1235,1.48E-04,2.79239097
HP1236,4.64E-03,0.6636513481
HP1237,1.96E-01,0.8300066173
HP1238,1.20E-13,3.57387866
HP1239,1.82E-01,0.6813116419
HP1240,2.58E-05,0.559687348
HP1241,2.21E-13,0.3779853254
HP1242,2.91E-01,0.7457048029
HP1243,1.16E-06,0.4307057691
HP1244,8.44E-01,1.048996813
HP1245,8.17E-01,1.062310916
HP1246,9.45E-01,0.9783240835
HP1247,9.20E-01,0.9746664354
HP1248,3.34E-02,1.916478139
HP1249,1.13E-06,2.051616653
HP1250,4.64E-05,1.796444216
HP1251,1.52E-03,1.563065619
HP1252,1.78E-02,1.434589249
HP1253,4.80E-01,1.121203969
HP1254,6.17E-12,2.808779093
HP1255,2.38E-02,1.496824128
HP1256,3.60E-01,0.83890374
HP1257,9.35E-01,0.9809240411
HP1258,3.09E-05,1.813551373
HP1259,5.57E-03,1.557892188
HP1260,2.60E-01,1.236375509
HP1261,1.37E-01,1.318673668
HP1262,8.19E-01,1.050662178
HP1263,1.17E-01,1.323123791
HP1264,7.68E-01,1.065374503
HP1265,2.72E-04,1.676468692
HP1266,6.31E-01,1.097210175
HP1267,2.12E-01,0.8028870639
HP1268,5.28E-02,0.7039522847
HP1269,2.45E-01,0.8087631761
HP1270,2.36E-01,0.7997849881
HP1271,5.00E-01,0.880674024
HP1272,3.86E-01,0.8631890787
HP1273,1.97E-01,0.8218827832
HP1274,9.90E-03,1.565845229
HP1275,2.90E-01,0.8523000722
HP1276,9.68E-14,0.3332777883
HP1277,9.77E-01,1.005811021
HP1278,9.11E-02,1.297482808
HP1279,2.53E-02,1.535747773
HP1280,6.09E-03,1.773563459
HP1281,2.86E-03,1.608930352
HP1282,7.17E-08,2.90079357
HP1283,6.91E-01,0.9225564351
HP1284,4.12E-02,0.7519294424
HP1285,4.94E-04,0.5440068737
HP1286,5.22E-01,1.208227826
HP1287,4.62E-01,1.150870115
HP1288,7.96E-31,0.1308235239
HP1289,8.33E-23,0.2271098169
HP1290,1.90E-44,0.119406361
HP1291,2.16E-13,0.1772485565
HP1292,4.78E-01,0.798982498
HP1293,8.64E-01,0.9558777158
HP1294,3.45E-01,0.8019423771
HP1295,7.59E-01,0.9099906496
HP1296,7.70E-01,0.9140430198
HP1297,1.75E-01,1.293253108
HP1298,9.77E-01,1.009678482
HP1299,6.91E-01,1.088402262
HP1300,2.11E-01,0.7886250472
HP1301,1.71E-03,0.5741279056
HP1302,2.92E-02,0.6103676022
HP1303,2.15E-02,0.6035678773
HP1304,9.92E-03,0.6282626022
HP1305,2.87E-03,0.5794354152
HP1306,5.33E-02,0.546467606
HP1307,8.15E-04,0.5493984038
HP1308,3.96E-02,0.5147313031
HP1309,9.68E-04,0.5255690712
HP1310,1.17E-02,0.54330962
HP1311,8.15E-04,0.5185471767
HP1312,4.52E-04,0.5202678149
HP1313,2.60E-04,0.5254774257
HP1314,3.84E-03,0.5195865908
HP1315,4.30E-05,0.4861582014
HP1316,7.36E-05,0.4993074492
HP1317,2.16E-04,0.4997831181
HP1318,1.00E-03,0.5576571193
HP1319,2.98E-03,0.5908354293
HP1320,3.00E-01,0.7647134431
HP1321,8.45E-01,1.067447665
HP1322,8.77E-07,2.026891918
HP1323,6.76E-04,0.5521937173
HP1324,1.59E-03,0.5597893146
HP1325,2.36E-06,0.4437216634
HP1326,5.89E-06,2.008528761
HP1327,1.09E-01,1.54496058
HP1328,1.14E-01,1.717174922
HP1329,9.61E-02,1.655420268
HP1330,4.78E-12,4.230861102
HP1331,9.58E-10,2.47990071
HP1332,1.89E-13,3.290288349
HP1333,1.01E-01,0.7071249834
HP1334,1.54E-01,0.505499624
HP1335,5.83E-01,1.113878136
HP1336,2.45E-12,2.665276491
HP1337,1.67E-04,1.751762597
HP1338,4.73E-08,2.298208902
HP1339,8.37E-01,1.057891793
HP1340,7.36E-01,1.074263152
HP1341,1.29E-01,1.320497783
HP1342,1.72E-03,1.592169903
HP1343,9.09E-02,1.280512245
HP1344,3.14E-02,0.7409594863
HP1345,6.98E-05,0.5349279669
HP1346,7.37E-01,0.9468767571
HP1347,4.51E-01,1.383935782
HP1348,4.49E-02,1.542907279
HP1349,1.94E-01,1.219531135
HP1350,6.60E-01,0.9129596867
HP1351,3.02E-02,0.7298368014
HP1352,2.57E-01,0.8403986329
HP1353,4.83E-01,1.316597162
HP1354,2.07E-01,0.8092676152
HP1355,8.69E-01,0.972048116
HP1356,4.18E-01,1.154246974
HP1357,8.44E-01,1.042452986
HP1358,8.02E-01,1.045463894
HP1359,8.44E-01,1.035475934
HP1360,3.77E-01,1.14969712
HP1361,1.83E-02,1.671100205
HP1362,7.21E-01,0.9416321925
HP1363,1.10E-02,1.574480743
HP1364,4.91E-03,2.065626809
HP1365,1.93E-08,2.128870457
HP1366,9.47E-03,1.636546191
HP1367,6.01E-01,1.200527551
HP1368,6.19E-01,1.105702777
HP1369,1.71E-01,0.8269145548
HP1370,2.74E-01,1.306154064
HP1371,8.98E-01,1.065347854
HP1372,8.65E-03,1.427328652
HP1373,4.14E-01,0.8641049329
HP1374,2.61E-02,0.6793916956
HP1375,5.20E-02,0.7166115167
HP1376,1.51E-01,0.7690271569
HP1377,4.34E-03,1.655917311
HP1378,7.28E-01,0.9332355173
HP1379,8.21E-01,1.044497814
HP1380,8.42E-05,1.888715876
HP1381,5.26E-12,2.77652618
HP1382,7.82E-03,1.65334888
HP1383,8.09E-01,0.9610919596
HP1384,4.40E-01,0.8840527835
HP1385,4.18E-01,0.8706685204
HP1386,7.93E-09,2.160792028
HP1387,1.54E-04,1.684311195
HP1388,2.33E-01,0.8170010672
HP1389,3.08E-01,0.8217236237
HP1390,1.54E-01,0.738295605
HP1391,2.01E-01,0.8004362224
HP1392,5.42E-02,1.73663811
HP1393,1.66E-01,1.363942723
HP1394,7.30E-04,1.712923545
HP1395,1.11E-29,0.1609090663
HP1396,8.30E-01,1.036538337
HP1397,2.54E-01,0.821733223
HP1398,8.10E-27,0.1780638203
HP1399,7.06E-35,0.1092489157
HP1400,3.96E-01,0.8439395274
HP1401,3.24E-03,1.519093796
HP1402,4.18E-01,1.127104938
HP1403,7.59E-02,0.7622552465
HP1404,5.42E-01,0.8908468345
HP1405,4.23E-05,1.739731926
HP1406,2.06E-01,1.216843815
HP1407,1.17E-04,1.751405301
HP1408,1.29E-01,1.256017232
HP1409,6.16E-01,0.8622855443
HP1410,1.00E+00,0.9999808849
HP1411,6.35E-01,1.143998784
HP1412,1.66E-01,1.254094182
HP1413,2.03E-02,0.7208021749
HP1414,7.45E-02,0.7604751339
HP1415,9.87E-01,0.9961277309
HP1416,1.79E-01,1.322819312
HP1417,1.92E-01,0.7986455848
HP1418,8.93E-02,1.407780466
HP1419,9.66E-01,0.9907326851
HP1420,7.26E-05,1.911394804
HP1421,1.74E-03,1.545207351
HP1422,2.55E-01,0.820989159
HP1423,2.46E-01,1.25254416
HP1424,1.14E-01,1.318407712
HP1425,1.82E-01,1.285335442
HP1426,8.05E-09,0.4748215464
HP1427,2.42E-01,0.4167873937
HP1428,8.79E-10,2.527230175
HP1429,1.18E-04,1.811213832
HP1430,4.43E-02,1.423854428
HP1431,3.47E-09,2.797541627
HP1432,4.07E-04,10.65764929
HP1433,3.04E-05,1.850216374
HP1434,3.91E-01,1.139306886
HP1435,6.25E-02,1.337510128
HP1436,8.49E-08,2.14464129
HP1437,5.86E-01,1.239203484
HP1438,7.37E-01,1.172891111
HP1439,2.87E-01,1.174936766
HP1440,6.83E-01,1.095753464
HP1441,7.84E-01,1.06022517
HP1442,5.06E-01,1.1411899
HP1443,1.72E-03,1.57204378
HP1444,9.71E-01,1.009416327
HP1445,3.13E-02,0.6754557701
HP1446,3.81E-02,0.6758637277
HP1447,4.38E-01,0.8806834169
HP1448,3.36E-01,0.8571439618
HP1449,3.84E-01,1.160243766
HP1450,2.28E-03,0.6346672477
HP1451,5.27E-05,0.5495672898
HP1452,8.73E-01,1.035155076
HP1453,2.45E-04,0.5301859853
HP1454,5.83E-01,1.133102336
HP1455,9.80E-01,0.9925859649
HP1456,6.38E-01,0.8864258786
HP1457,4.92E-01,1.146362769
HP1458,4.49E-06,0.343936271
HP1459,1.45E-01,1.271295434
HP1460,5.37E-01,0.8990926587
HP1461,1.84E-06,2.04033478
HP1462,3.53E-02,1.464888947
HP1463,6.40E-01,1.09497982
HP1464,4.13E-01,1.162395476
HP1465,3.69E-05,1.921733289
HP1466,1.26E-06,2.186328425
HP1467,4.80E-01,1.145023144
HP1468,8.21E-02,0.7413992052
HP1469,3.76E-10,0.3377363698
HP1470,4.85E-01,0.8986513997
HP1471,7.89E-01,1.067714324
HP1472,7.17E-01,1.075740266
HP1473,5.55E-03,1.960255427
HP1474,2.83E-01,1.27123313
HP1475,6.26E-01,1.117176954
HP1476,4.00E-01,0.8724788718
HP1477,1.84E-02,1.809332549
HP1478,4.64E-04,1.89407062
HP1479,9.56E-04,1.733856581
HP1480,8.31E-03,1.523408312
HP1481,1.04E-01,1.314056928
HP1482,7.33E-01,1.058157217
HP1483,8.04E-01,1.050432714
HP1484,7.89E-01,0.945346642
HP1485,5.43E-03,1.853549322
HP1486,4.62E-03,1.792701066
HP1487,1.23E-01,1.290043338
HP1488,9.87E-01,0.9967395291
HP1489,3.30E-01,1.164261337
HP1490,3.55E-03,1.512193853
HP1491,8.38E-02,1.285362173
HP1492,4.82E-07,2.217697521
HP1493,9.28E-11,2.57968992
HP1494,6.63E-07,2.094924826
HP1495,5.24E-02,1.321497626
HP1496,4.95E-01,0.8646830686
HP1497,5.81E-02,1.352069649
HP1498,1.75E-04,2.139968379
HP1499,2.34E-20,5.165225561
HP1500,3.00E-10,0.2627471201
HP1501,5.85E-12,0.2994088645
HP1502,9.36E-01,0.9801806298
HP1503,2.95E-01,0.7971257699
HP1504,3.70E-02,1.363453403
HP1505,2.33E-01,0.7890285881
HP1506,1.00E-05,0.5321126117
