,FDR,fold
HP0173,1.10E-01,1.814421891
HP0174,2.23E-05,2.040723619
HP0175,8.31E-02,0.6797653619
HP0176,5.86E-02,0.6639454857
HP0177,4.38E-01,0.7538968417
HP0178,1.03E-01,0.7922931337
HP0179,4.02E-01,0.8484726822
HP0180,3.23E-03,1.922183111
HP0181,7.49E-03,1.583094027
HP0182,9.34E-01,0.9824813267
HP0183,8.18E-01,0.9525068901
HP0184,8.28E-01,1.048607257
HP0185,1.98E-01,0.7857171745
HP0186,3.29E-01,1.170741578
HP0187,6.32E-01,0.8955964691
HP0188,4.94E-01,0.7076663629
HP0189,5.06E-02,1.359049375
HP0190,2.60E-01,0.8462584415
HP0191,7.63E-02,0.7233811394
HP0192,4.39E-02,0.6946707472
HP0193,9.16E-02,0.7406734158
HP0194,1.06E-01,0.7495762882
HP0195,1.64E-02,0.7069458723
HP0196,2.42E-01,0.8242831745
HP0197,6.86E-02,0.7286076242
HP0198,2.09E-02,0.6571446907
HP0199,3.29E-01,0.8166262128
HP0200,1.17E-01,0.5476862098
HP0201,5.52E-01,0.8830024046
HP0202,4.46E-02,1.4407251
HP0203,7.41E-01,1.072926144
HP0204,5.10E-01,0.8779533286
HP0205,1.54E-01,2.707803208
HP0206,6.71E-08,3.003028782
HP0207,2.83E-07,2.459911139
HP0208,3.29E-04,2.025521492
HP0209,4.75E-02,2.007696394
HP0210,4.27E-03,0.6037252986
HP0211,5.80E-01,0.8986856912
HP0212,3.64E-04,0.6176708716
HP0213,2.24E-02,0.7231205244
HP0214,3.53E-10,0.4174166281
HP0215,3.11E-08,0.4732360448
HP0216,1.03E-01,0.7891108715
HP0217,8.95E-02,1.321038887
HP0218,8.76E-02,0.7382478896
HP0219,2.74E-42,14.98899248
HP0220,9.96E-04,1.809070973
HP0221,5.48E-02,1.429816503
HP0222,2.00E-02,1.746973206
HP0223,8.52E-03,1.56332682
HP0224,8.28E-08,0.3950926987
HP0225,1.08E-03,0.5189497295
HP0226,2.76E-01,0.8433591388
HP0227,1.72E-03,1.592169903
HP0228,4.39E-12,2.934477057
HP0229,3.41E-14,0.2647598726
HP0230,4.46E-01,1.147447012
HP0231,2.83E-01,0.8162297603
HP0232,4.10E-01,0.8508581224
HP0233,7.24E-01,1.076867031
HP0234,6.11E-01,1.1105411
HP0235,6.01E-01,1.109464755
HP0236,4.98E-02,1.691362704
HP0237,2.07E-05,2.087486433
HP0238,9.83E-05,1.81589885
HP0239,2.39E-06,2.052437685
HP0240,9.84E-11,2.617173376
HP0241,1.71E-13,3.643985684
HP0242,3.61E-03,2.367379431
HP0243,5.33E-02,0.5250602906
HP0244,6.20E-05,1.761083726
HP0245,9.76E-01,0.9925372674
HP0246,3.11E-02,1.369910674
HP0247,5.24E-05,0.5597854763
HP0248,5.33E-07,0.459891919
HP0249,3.35E-02,0.7352504905
HP0250,6.70E-02,1.330240041
HP0251,3.43E-01,1.160869462
HP0252,3.45E-03,0.5967910254
HP0253,8.77E-07,0.5094893949
HP0254,2.28E-03,0.5842671479
HP0255,7.36E-01,0.9353822319
HP0256,7.64E-01,1.055131872
HP0257,3.69E-03,1.538624526
HP0258,6.16E-01,1.100225338
HP0259,8.80E-01,0.9542727864
HP0260,1.50E-03,2.496151508
HP0261,1.65E-03,1.558950139
HP0262,4.14E-09,2.244046737
HP0263,1.87E-03,1.888051019
HP0264,1.09E-07,0.4774366853
HP0265,7.59E-03,0.6650709231
HP0266,5.94E-01,0.9095400926
HP0267,2.84E-03,0.6689363197
HP0268,2.25E-05,0.4612952935
HP0269,1.59E-01,0.7779058484
