gene,ctrl differences,FDR,fold
HP0399,1,0.119,0.749750231
HP0402,3,0.000899,1.590041897
HP0403,1,0.000216,1.760284704
HP0407,3,0.935,0.983238119
HP0409,4,5.55e-09,0.414186187
HP0413,1,8.86e-06,4.188071952
HP0415,1,1.05e-06,1.987567043
HP0417,1,0.0322,0.713041521
HP0420,1,0.0241,1.396511999
HP0421,2,0.289,1.183215165
HP0423,1,0.166,1.254094182
HP0424,1,0.635,1.143998784
HP0425,1,0.966,0.988240319
HP0426,1,0.616,0.862285544
HP0433,1,0.684,1.116339375
HP0434,1,0.772,1.221232857
HP0435,1,0.26,1.577730934
HP0438,1,0.249,1.234732256
HP0439,1,0.38,1.261347362
HP0440,1,0.645,0.824786011
HP0441,1,0.444,1.50655252
HP0444,1,0.83,1.075693758
HP0445,1,0.117,0.785305417
HP0452,2,0.183,1.774058551
HP0453,3,0.0839,2.900213753
HP0459,1,0.285,1.9913062
HP0463,1,0.853,0.900410816
HP0464,3,0.065,1.871028867
HP0465,2,0.0568,1.964761003
HP0466,1,0.911,1.021647163
HP0467,2,0.128,1.313301718
HP0468,1,0.925,1.018360167
HP0471,1,0.954,0.987573763
HP0473,2,0.0604,1.408805987
HP0474,1,0.0711,1.734747818
HP0475,2,0.0322,1.622456843
HP0476,1,0.0253,0.725514866
HP0478,2,0.182,1.547304103
HP0479,1,0.152,1.889372052
HP0480,1,0.00255,0.588430452
HP0483,1,3.94e-06,2.588672966
HP0486,1,0.0566,1.551305336
HP0487,1,0.0855,1.372004562
HP0488,2,0.0449,1.744389281
HP0489,1,0.87,1.146771677
HP0490,2,0.818,1.042460414
HP0491,1,0.312,0.758207621
HP0493,1,0.807,1.051683488
HP0494,1,0.75,0.906175805
HP0498,1,0.0285,0.711245237
HP0499,2,0.0616,1.476901976
HP0500,1,0.00423,0.634775041
HP0501,2,0.117,0.773181764
HP0505,2,2.51e-06,2.636291178
HP0506,3,0.00865,0.685990208
HP0508,1,1.77e-05,0.550467633
HP0510,2,3.25e-11,0.354238414
HP0512,3,0.00263,0.589594553
HP0514,1,0.0321,0.678921616
HP0515,2,0.000135,0.538774093
HP0516,2,0.00842,0.669579777
HP0517,1,0.966,1.009508424
HP0519,1,0.205,1.295856123
HP0520,1,0.00139,0.536244571
HP0522,1,0.00234,0.60912779
HP0524,2,0.437,0.884247997
HP0525,1,0.0155,0.685587555
HP0527,1,0.531,0.897928738
HP0528,1,0.14,1.251762087
HP0534,1,0.000783,0.623603476
HP0539,1,2.3e-05,2.914418553
HP0541,2,0.0888,0.736784041
HP0542,1,0.00179,0.576776515
HP0543,1,8.17e-06,0.464683224
HP0544,3,0.54,1.108319772
HP0547,2,0.0201,0.569671442
HP0551,1,0.04,0.668234898
HP0554,1,0.427,1.153534109
HP0557,1,0.957,1.014336736
HP0564,2,0.000227,0.303683652
HP0566,2,0.0312,0.731631892
HP0567,2,0.227,1.39140041
