,26695 (6h),
,FDR,fold
HP0183,0.817727151,0.95250689
HP0184,0.828371843,1.048607257
HP0185,0.197715157,0.785717174
HP0186,0.329470939,1.170741578
HP0187,0.632384092,0.895596469
HP0188,0.494181512,0.707666363
HP0189,0.050594009,1.359049375
HP0190,0.260081493,0.846258442
HP0191,0.076319759,0.723381139
HP0192,0.043875606,0.694670747
HP0193,0.091614548,0.740673416
HP0194,0.105652345,0.749576288
HP0195,0.016394727,0.706945872
HP0196,0.241641637,0.824283175
HP0197,0.068600948,0.728607624
HP0198,0.020857367,0.657144691
HP0199,0.329470939,0.816626213
HP0200,0.116654599,0.54768621
HP0201,0.551849918,0.883002405
HP0202,0.044609748,1.4407251
HP0203,0.741244835,1.072926144
HP0204,0.509974441,0.877953329
HP0205,0.154450886,2.707803208
HP0206,6.71444E-08,3.003028782
HP0207,2.83359E-07,2.459911139
HP0208,0.000328975,2.025521492
HP0209,0.047497919,2.007696394
HP0210,0.004273719,0.603725299
HP0211,0.580411803,0.898685691
HP0212,0.000364315,0.617670872
HP0213,0.022441072,0.723120524
HP0214,3.53077E-10,0.417416628
HP0215,3.10798E-08,0.473236045
HP0216,0.102633502,0.789110872
HP0217,0.089468285,1.321038887
HP0218,0.087647583,0.73824789
HP0219,2.7403E-42,14.98899248
HP0220,0.000995967,1.809070973
HP0221,0.054811311,1.429816503
HP0222,0.019982025,1.746973206
HP0223,0.008520379,1.56332682
HP0224,8.27728E-08,0.395092699
HP0225,0.001084886,0.51894973
HP0226,0.276250538,0.843359139
HP0227,0.001717648,1.592169903
HP0228,4.38966E-12,2.934477057
HP0229,3.40579E-14,0.264759873
HP0230,0.446137438,1.147447012
HP0231,0.283442586,0.81622976
HP0232,0.41025454,0.850858122
HP0233,0.723649935,1.076867031
HP0234,0.610709024,1.1105411
HP0235,0.600644739,1.109464755
HP0236,0.049845809,1.691362704
HP0237,2.07261E-05,2.087486433
HP0238,9.82691E-05,1.81589885
HP0239,2.39487E-06,2.052437685
HP0240,9.83809E-11,2.617173376
HP0241,1.71356E-13,3.643985684
HP0242,0.003609314,2.367379431
HP0243,0.053316998,0.525060291
HP0244,6.20338E-05,1.761083726
HP0245,0.975911464,0.992537267
HP0246,0.031087566,1.369910674
HP0247,5.24057E-05,0.559785476
HP0248,5.3327E-07,0.459891919
HP0249,0.033533154,0.735250491
HP0250,0.066980617,1.330240041
HP0251,0.343099083,1.160869462
HP0252,0.003447568,0.596791025
HP0253,8.76528E-07,0.509489395
HP0254,0.002282085,0.584267148
HP0255,0.73615388,0.935382232
HP0256,0.763851411,1.055131872
HP0257,0.003690643,1.538624526
HP0258,0.61594006,1.100225338
HP0259,0.880095023,0.954272786
HP0260,0.001500265,2.496151508
HP0261,0.001646359,1.558950139
HP0262,4.1379E-09,2.244046737
HP0263,0.001867198,1.888051019
HP0264,1.09217E-07,0.477436685
HP0265,0.007587752,0.665070923
HP0266,0.594133669,0.909540093
HP0267,0.002843791,0.66893632
HP0268,2.25142E-05,0.461295293
HP0269,0.158963864,0.777905848
HP0270,0.446137438,1.150397884
HP0271,4.95666E-06,1.967423696
HP0272,4.02795E-05,1.841040997
HP0273,1.04698E-05,2.105082274
HP0274,0.29183928,1.211008017
HP0275,0.201025812,0.813211689
HP0276,0.239185598,1.21814626
HP0277,0.279971804,1.233692862
HP0278,8.60536E-07,2.118022236
HP0279,2.57865E-08,2.546219355
HP0280,0.03582854,1.367219174
HP0281,0.175973518,1.32421258
HP0282,6.16601E-05,1.952638707
HP0283,0.023415359,1.401008605
HP0284,0.293724391,1.265090152
HP0285,0.002422086,1.598358975
HP0286,8.76528E-07,2.183041033
HP0287,1.00632E-10,2.851287428
HP0288,0.801566705,1.053564162
HP0289,0.002629267,1.780961064
HP0290,3.60383E-08,2.221995288
HP0291,1.2963E-09,2.39059058
HP0292,6.38973E-08,2.320813954
HP0293,3.62325E-05,3.054077645
HP0294,0.501729045,0.875220721
HP0295,0.908284724,0.930743102
HP0296,0.003148501,2.141269784
HP0297,0.651145389,1.166707011
HP0298,1.62825E-08,0.389838429
HP0299,4.77308E-36,0.163261155
HP0300,1.54405E-33,0.196993133
HP0301,7.13523E-31,0.19283823
HP0302,1.56981E-34,0.193772369
HP0303,1.29193E-15,0.349512274
HP0304,0.039020169,0.720065088
HP0305,0.205814273,0.737089839
HP0306,0.001920278,1.734076634
HP0307,4.4764E-15,3.25158393
HP0308,1.61728E-12,3.20514707
HP0309,0.000265724,0.560026773
HP0310,1.08643E-09,0.350248418
HP0311,9.07478E-07,0.426654161
HP0312,0.002184077,0.625399362
HP0313,0.290449616,1.175760867
HP0314,0.791036646,0.939433149
HP0315,0.000681608,0.602572225
HP0316,0.000162567,0.592162682
HP0317,0.000219601,0.495742054
HP0318,0.228049475,1.274051955
HP0319,0.053375942,0.732232678
HP0320,0.000146126,0.447364565
HP0321,0.013063751,0.687690729
HP0322,0.090544867,0.779445872
HP0323,5.54948E-09,0.362910933
HP0324,0.719645099,1.080112997
HP0325,0.000146147,1.932268625
HP0326,4.05518E-12,2.808756651
HP0327,4.19035E-05,3.332049717
HP0328,0.000405907,1.743788914
HP0329,0.416454913,1.207296313
HP0330,0.20386927,0.793012672
HP0331,0.012476149,0.65446267
HP0332,0.166297734,0.773382844
HP0333,0.468752817,1.117571543
HP0334,0.007587752,1.513669134
HP0335,0.437890265,0.811922298
HP0336,0.920005743,0.976677939
HP0337,0.063724081,1.358910867
HP0338,0.737134987,1.060873191
HP0339,0.687932812,1.075642035
HP0340,0.672194394,0.879953717
HP0341,0.001308531,0.433998796
HP0342,0.031311996,0.538753693
HP0343,0.251987894,0.416704927
HP0344,0.801839506,0.86722696
HP0345,9.78432E-21,7.405341476
HP0346,2.23018E-13,4.547939687
HP0347,0.045166163,2.082889168
HP0348,5.22494E-05,2.034287785
HP0349,0.961478328,0.988924096
HP0350,0.631279817,0.907446951
HP0351,0.030477691,1.382814806
HP0352,0.600691705,1.088680482
HP0353,0.001981959,1.570157859
HP0354,0.85857201,1.032711623
HP0355,0.424131686,0.88130401
HP0356,0.862539465,0.963075767
HP0357,0.303053335,1.197348683
HP0358,0.000226843,0.560142868
HP0359,0.132342002,0.372678057
HP0360,9.65483E-05,0.581752013
HP0361,0.277222123,1.396159113
HP0362,3.15E-06,2.111530293
HP0363,0.094006122,1.284018343
HP0364,0.583284057,1.104281921
HP0365,0.0357813,1.539465655
HP0366,0.001571073,0.609885078
HP0367,0.000930848,1.605475854
HP0368,3.39046E-05,2.16204147
HP0369,6.42539E-05,1.917123883
HP0370,0.324359999,0.83417651
HP0371,0.66481529,0.913539574
HP0372,0.199684153,0.787497513
HP0373,0.716544095,1.08342415
HP0374,1.16058E-06,0.428617243
HP0375,1.29932E-07,0.418924347
HP0376,1.1365E-13,4.058413703
HP0377,0.018790064,0.668840771
HP0378,0.965832878,0.990868266
HP0379,0.802592183,1.042998224
HP0380,0.608315494,1.099912496
HP0381,0.750158423,1.055605732
HP0382,0.005885763,0.628860445
HP0383,4.29859E-05,2.597816649
HP0384,0.360102467,1.213424701
HP0385,0.011694751,0.693066209
HP0386,0.753683448,1.082177638
HP0387,0.001994149,1.851119577
HP0388,0.713343609,0.924784397
HP0389,0.924008243,0.952557083
HP0390,0.41025454,0.773423832
HP0391,0.011533124,0.636738296
HP0392,0.09273131,0.736130106
HP0393,0.952190293,1.011794388
HP0394,0.154375451,1.616776192
HP0395,0.171132316,1.265819864
HP0396,0.431762098,1.137843247
HP0397,0.683946426,0.926288182
HP0398,0.417831868,1.15208715
HP0399,0.119021108,0.749750231
HP0400,0.555023901,0.905303571
HP0401,1.52473E-06,2.062474312
HP0402,0.000899053,1.590041897
HP0403,0.000216215,1.760284704
HP0404,0.000185997,0.597448292
HP0405,0.081003253,0.769007169
HP0406,0.570119751,0.911990399
HP0407,0.934809675,0.983238119
HP0408,1.63249E-11,0.330672048
HP0409,5.54948E-09,0.414186187
HP0410,0.161207673,1.317825007
HP0411,0.158635613,1.392712582
HP0412,0.035560742,0.422324749
HP0413,8.85995E-06,4.188071952
HP0414,2.83359E-07,2.252631743
HP0415,1.04953E-06,1.987567043
HP0416,0.114002268,0.773120284
HP0417,0.032152898,0.71304152
HP0418,0.418084141,1.139509963
HP0419,0.001590634,1.776703938
HP0420,0.02408021,1.396511999
HP0421,0.289255658,1.183215165
HP0422,0.175157126,0.818349485
HP0423,0.166112085,1.254094182
HP0424,0.635418007,1.143998784
HP0425,0.965832878,0.988240319
HP0426,0.61594006,0.862285544
HP0427,0.129342381,1.256017232
HP0428,0.008305862,1.48773657
HP0429,4.25755E-05,1.890912642
HP0430,1.07452E-06,2.264361959
HP0431,0.975911464,1.012706558
HP0432,0.905463294,1.051717363
HP0433,0.683946426,1.116339375
HP0434,0.77182131,1.221232857
HP0435,0.260232446,1.577730934
HP0436,0.687932812,1.263323451
HP0437,0.830370362,1.058107817
HP0438,0.248701167,1.234732256
HP0439,0.379984887,1.261347362
HP0440,0.645192607,0.824786011
HP0441,0.444453447,1.50655252
HP0442,0.610661689,1.414451957
HP0443,0.62969066,0.689253757
HP0444,0.830370362,1.075693758
HP0445,0.11692918,0.785305417
HP0446,0.104807415,1.604980156
HP0447,0.222277343,2.454044501
HP0448,2.23018E-13,2.87485325
HP0449,0.006350502,2.488661544
HP0450,0.970690506,0.991933358
HP0451,4.92443E-05,1.955660059
HP0452,0.183089503,1.774058551
HP0453,0.083914348,2.900213753
HP0454,0.244818782,1.858776771
HP0455,0.000922372,1.96590083
HP0456,0.307649758,1.889014759
HP0457,0.049187099,2.60713202
HP0458,0.093005616,2.119931142
HP0459,0.285134802,1.9913062
HP0460,0.108816435,0.3699262
HP0461,2.10977E-10,0.37072793
HP0462,7.64406E-05,5.050668419
HP0463,0.852906157,0.900410816
HP0464,0.06496997,1.871028867
HP0465,0.056763479,1.964761003
HP0466,0.910898722,1.021647163
HP0467,0.128430004,1.313301718
HP0468,0.925087124,1.018360167
HP0469,0.034611718,0.692463991
HP0470,0.00487627,0.611656556
HP0471,0.953883334,0.987573763
HP0472,0.913674169,1.026045405
HP0473,0.060443418,1.408805987
HP0474,0.07105004,1.734747818
HP0475,0.032152556,1.622456843
HP0476,0.025270131,0.725514866
HP0477,0.528002064,0.829915331
HP0478,0.181504207,1.547304103
HP0479,0.151907871,1.889372052
HP0480,0.002552876,0.588430452
HP0481,0.017081287,0.657036458
HP0482,0.05448044,1.376907111
HP0483,3.94457E-06,2.588672966
HP0484,3.64591E-05,2.384999464
HP0485,6.50065E-07,0.426091894
HP0486,0.056596207,1.551305336
HP0487,0.08552251,1.372004562
HP0488,0.04486661,1.744389281
HP0489,0.870277143,1.146771677
HP0490,0.817727151,1.042460414
HP0491,0.312481996,0.758207621
HP0492,0.091769713,1.350490431
HP0493,0.806560826,1.051683488
HP0494,0.750158423,0.906175805
HP0495,0.125139151,0.779982473
HP0496,0.022805011,1.40962937
HP0497,3.93714E-05,0.487566673
HP0498,0.028507677,0.711245237
HP0499,0.061601646,1.476901976
HP0500,0.004230728,0.63477504
HP0501,0.117103154,0.773181764
HP0502,0.179635553,1.287083703
HP0503,0.443704225,1.374525617
HP0504,1.51424E-12,3.455279295
HP0505,2.51271E-06,2.636291178
HP0506,0.008651642,0.685990208
HP0507,0.095943531,1.323010549
HP0508,1.77023E-05,0.550467633
HP0509,0.000377224,0.611377401
HP0510,3.2462E-11,0.354238414
HP0511,0.001653686,0.611967768
HP0512,0.002629267,0.589594553
HP0513,0.000986369,2.057681087
HP0514,0.032114423,0.678921616
HP0515,0.000134756,0.538774093
HP0516,0.00842014,0.669579777
HP0517,0.965778215,1.009508424
HP0518,0.003690643,1.529259105
HP0519,0.205274585,1.295856123
HP0520,0.001387296,0.536244571
HP0521,0.038118569,0.672377372
HP0522,0.002344648,0.60912779
HP0523,0.264516528,0.840314616
HP0524,0.437134708,0.884247997
HP0525,0.015522831,0.685587555
HP0526,0.000404363,0.54587756
HP0527,0.531458768,0.897928738
HP0528,0.140122668,1.251762087
HP0529,0.015777211,1.433092152
HP0530,0.571487601,0.896730547
HP0531,0.277920934,0.815058396
HP0532,0.006392561,0.624051615
HP0533,0.77182131,0.938340099
HP0534,0.000783094,0.623603476
HP0535,0.748706167,0.930922566
HP0536,0.005348648,0.578699213
HP0537,4.41711E-13,2.918499864
HP0538,0.072581691,1.301226815
HP0539,2.30454E-05,2.914418553
HP0540,4.18985E-08,2.815700703
HP0541,0.088799785,0.736784041
HP0542,0.001794176,0.576776515
HP0543,8.17345E-06,0.464683224
HP0544,0.540401906,1.108319772
HP0545,0.277920934,0.813902848
HP0546,0.569094755,0.805546368
HP0547,0.020144079,0.569671442
HP0548,0.015884417,0.670557412
HP0549,3.94457E-06,0.495931609
HP0550,0.001011962,0.555029096
HP0551,0.040008185,0.668234898
HP0552,0.629607247,0.91122644
HP0553,0.247841725,1.208952443
HP0554,0.42713128,1.153534109
HP0555,0.206924301,1.325123915
HP0556,1.46264E-10,0.313093532
HP0557,0.957140726,1.014336736
HP0558,0.134768396,0.75761476
HP0559,0.166092256,0.528170008
HP0560,0.25932952,0.674629043
HP0561,0.002783053,0.532435369
HP0562,0.094006122,0.496648432
HP0563,0.975341415,1.007239101
HP0564,0.000226843,0.303683652
HP0565,0.42618172,0.862190794
HP0566,0.031249855,0.731631892
HP0567,0.227060769,1.39140041
HP0568,0.000128624,0.546168146
HP0569,3.23939E-05,0.482590176
HP0570,3.10338E-11,0.319220692
HP0571,0.001242068,0.618456331
HP0572,7.53322E-07,0.435597037
HP0573,0.161741902,1.299042524
HP0574,0.002694001,0.654638678
HP0575,0.908619864,1.0264716
HP0576,0.044426564,0.744937558
HP0577,1.57528E-05,1.852375159
HP0578,0.494553436,0.714669231
HP0579,0.286759699,1.573116445
HP0580,0.880095023,0.945372087
HP0581,0.106146195,0.752645515
HP0582,0.030647123,0.671945016
HP0583,2.97047E-05,2.196732271
HP0584,0.017631475,1.533837609
HP0585,0.176478278,1.224380339
HP0586,0.164678025,1.372969147
HP0587,0.089758691,1.39345574
HP0588,0.528911848,1.141868083
HP0589,0.276250538,0.813508461
HP0590,0.347602266,0.834690856
HP0591,0.516831616,0.878761014
HP0592,0.677866316,1.100980782
HP0593,0.003318261,0.573557399
HP0594,0.011671551,1.54717898
HP0595,0.14539798,1.305487294
HP0596,0.001630457,0.510947123
HP0597,0.657095819,0.926489897
HP0598,0.494867433,1.122973308
HP0599,0.163372792,0.770539881
HP0600,0.013190937,1.74763968
HP0601,0.481854272,1.152510017
HP0602,0.047497919,1.336540985
HP0603,0.927794343,1.036051379
HP0604,1.42459E-06,0.435609354
HP0605,6.59812E-08,0.406272487
HP0606,1.14238E-07,0.426376518
HP0607,4.28969E-05,0.557282088
HP0608,0.132342002,0.797179882
HP0609,4.79719E-05,0.566935598
HP0610,0.016623758,0.710267997
HP0611,0.984627332,1.00682061
HP0612,4.51678E-06,0.502490733
HP0613,4.37208E-28,0.210145713
HP0614,0.001039228,1.782274717
HP0615,0.12882666,0.808603847
HP0616,0.018880789,1.421417722
HP0617,0.023001027,0.710519401
HP0618,0.109251189,0.77040838
HP0619,0.767797198,0.951023459
HP0620,0.000919579,0.558127119
HP0621,0.260232446,1.33375205
HP0622,0.806560826,1.045333073
HP0623,1.71382E-05,1.952659201
HP0624,0.180148825,1.219709425
HP0625,0.006213103,1.480112677
HP0626,0.76135179,0.952135301
HP0627,0.018938348,1.392228018
HP0628,2.90407E-05,1.811792905
HP0629,0.045702262,1.331094177
HP0630,0.004695673,1.678386408
HP0631,0.174492224,1.288459698
HP0632,0.048686574,1.415368261
HP0633,0.010890989,1.536325832
HP0634,0.001653686,1.637532102
HP0635,1.37246E-07,2.163415923
HP0636,0.168563836,0.772192122
HP0637,7.36779E-10,0.345182392
HP0638,0.002943105,0.622719384
HP0639,0.278985658,0.84244179
HP0640,0.000236883,2.893794543
HP0641,0.000202708,4.421617475
HP0642,3.99583E-16,5.110809777
HP0643,0.270749389,1.208978215
HP0644,0.374494974,1.151896155
HP0645,0.082098047,1.505555745
HP0646,1.72017E-07,0.489319786
HP0647,2.9807E-05,0.561915906
HP0648,0.442517854,0.869914286
HP0649,0.000952992,0.560536138
HP0650,0.087874157,0.772657852
HP0651,0.637829538,1.081422371
HP0652,0.001147016,1.621490342
HP0653,0.130330064,1.592524672
HP0654,0.072332737,0.771332118
HP0655,0.1708372,0.803904359
HP0656,0.018414546,0.691488433
HP0657,2.42928E-09,0.402123338
HP0658,3.90376E-05,0.502899212
HP0659,0.030291024,0.712374145
HP0660,0.038180697,1.41373509
HP0661,0.03697383,1.446737186
HP0662,0.194934373,0.693790265
HP0663,0.040310283,0.548505866
HP0664,0.428554685,0.879705782
HP0665,0.485103807,1.121136688
HP0666,0.005552006,1.645189462
HP0667,0.886324699,0.970149349
HP0668,0.019655281,1.591876959
HP0669,0.494867433,1.228028148
HP0670,0.233293507,1.546277738
HP0671,0.025270131,1.608427135
HP0672,0.245852719,0.804107368
HP0673,0.002288788,0.618655856
HP0674,0.588683015,1.100151884
HP0675,0.14214647,1.559225711
HP0676,0.086636423,1.563099092
HP0677,0.727719913,1.073334239
HP0678,1.31232E-05,0.556555417
HP0679,0.585548839,0.905855714
HP0680,0.379984887,1.164102327
HP0681,3.47305E-27,0.179788853
HP0682,1.11872E-24,0.16704149
HP0683,0.495180242,1.115455358
HP0684,0.18167988,1.231719913
HP0685,1.63446E-21,0.254553145
HP0686,2.23751E-22,0.19889626
HP0687,0.340489772,1.188747178
HP0688,5.37482E-06,0.523069483
HP0689,0.002822155,0.586415048
HP0690,2.09364E-09,0.371961324
HP0691,1.41018E-08,0.379259962
HP0692,8.77426E-11,0.358661494
HP0693,6.60304E-10,0.422243112
HP0694,0.965778215,1.009143318
HP0695,3.81129E-11,0.260041787
HP0696,2.6244E-11,0.273400671
HP0697,4.68855E-09,0.216845602
HP0698,0.47924994,0.869345156
HP0699,0.102976585,1.262278315
HP0700,0.0128054,1.457269757
HP0701,0.000560121,0.619242071
HP0702,0.228520659,0.81778089
HP0703,0.013805819,0.655877687
HP0704,2.42183E-08,3.342184009
HP0705,0.737134987,1.075243205
HP0706,0.103744166,1.385727388
HP0707,6.42539E-05,1.880740493
HP0708,0.001242068,1.627986324
HP0709,2.92184E-75,0.051866224
HP0710,1.10992E-33,0.156364396
HP0711,0.778194069,0.924886105
HP0712,0.979823889,0.989316871
HP0713,0.171132316,1.471891126
HP0714,0.000413739,2.694989458
HP0715,0.02637846,1.565760003
HP0716,0.262953456,1.20209056
HP0717,0.976812363,1.006347084
HP0718,0.002783053,0.548204028
HP0719,0.702167694,0.839686829
HP0720,0.826129628,0.88811469
HP0721,0.601081601,0.770774535
HP0722,2.42343E-09,0.425730614
HP0723,0.986582761,0.996448386
HP0724,0.68188985,0.915729964
HP0725,7.90886E-23,0.247461277
HP0726,0.000119234,1.810995846
HP0727,0.055666111,1.349981491
HP0728,0.322106773,1.482840303
HP0729,0.168770784,1.211926282
HP0730,0.708524551,0.926970724
HP0731,0.121268386,1.317849696
HP0732,0.000216441,1.782619543
HP0733,0.021249108,1.952514707
HP0734,0.004913935,1.46089716
HP0735,0.206669935,0.806337718
HP0736,0.301320164,1.16276567
HP0737,0.000461214,1.825348347
HP0738,0.048854113,1.397736677
HP0739,7.77001E-08,2.220824973
HP0740,0.059077178,1.338228848
HP0741,0.000621009,1.652447833
HP0742,0.027737308,0.714200504
HP0743,0.877860496,0.96734007
HP0744,0.106312665,0.701694552
HP0745,0.0009964,2.008060307
HP0746,0.447970475,0.885710117
HP0747,0.658416428,1.116075047
HP0748,0.913674169,0.971812743
HP0749,0.908619864,1.030609885
HP0750,0.239521474,1.20496902
HP0751,3.58077E-05,1.787041555
HP0752,0.001307745,1.801009558
HP0753,0.016933945,1.649109988
HP0754,0.068761175,1.732190229
HP0755,1.20237E-13,3.114489152
HP0756,0.669500379,0.926574075
HP0757,0.000204865,1.822311805
HP0758,5.90965E-06,1.97093447
HP0759,0.000126833,1.993726226
HP0760,0.199106014,0.816648864
HP0761,4.61496E-07,2.419062009
HP0762,0.735744056,1.074709279
HP0763,0.080698363,0.773633778
HP0764,0.349052235,1.202735884
HP0765,0.049943367,1.460791935
HP0766,8.92063E-05,1.866519975
HP0767,1.94485E-05,2.115302081
HP0768,0.019977346,1.555570562
HP0769,0.011980734,1.888224773
HP0770,0.461187169,1.260270959
HP0771,0.163523334,0.775570936
HP0772,7.29604E-05,2.222235847
HP0773,0.872797501,1.032555828
HP0774,0.130330064,1.268582455
HP0775,0.000277229,1.67924103
HP0776,0.996231069,1.001840578
HP0777,0.001399784,0.62524276
HP0778,0.018741194,1.554096926
HP0779,0.03449493,0.681830729
HP0780,0.205814273,0.784922466
HP0781,0.647386081,1.079225757
HP0782,0.048110195,1.377551625
HP0783,0.226079857,0.785094826
HP0784,0.935664174,0.899714642
HP0785,0.975911464,0.993925567
HP0786,0.182674644,0.818707036
HP0787,0.382404934,1.1625291
HP0788,0.058455754,0.709207024
HP0789,0.003061675,0.591390164
HP0790,0.011694751,1.453389378
