,26695 (6h),
,FDR,fold
HP0791,0.399773216,1.144879879
HP0792,1.2709E-06,1.988527593
HP0793,0.784778494,0.942859123
HP0794,0.055073954,0.705143051
HP0795,0.013805819,0.643492828
HP0796,7.511E-05,0.52921068
HP0797,0.048037994,0.635787113
HP0798,0.017865249,1.527088588
HP0799,0.074563392,1.318021921
HP0800,4.94593E-05,1.833197609
HP0801,0.000508016,1.671001076
HP0802,0.009699816,1.492092601
HP0803,0.413592443,1.140728107
HP0804,4.32664E-10,0.409096347
HP0805,0.000236883,0.58642147
HP0806,0.021937566,0.718347508
HP0807,5.62957E-13,0.405212781
HP0808,0.103983857,1.375327102
HP0809,0.651343155,1.098237462
HP0810,0.769272783,1.102338416
HP0811,0.437890265,1.14716454
HP0812,0.312870169,1.535337052
HP0813,0.005885763,1.48541341
HP0814,1.23239E-05,1.953655201
HP0815,0.019786733,1.389177086
HP0816,0.000191192,1.684068879
HP0817,4.68081E-09,2.24835584
HP0818,0.061318732,0.70482564
HP0819,0.756415656,0.913396573
HP0820,0.975911464,1.00639833
HP0821,0.001606896,2.246951717
HP0822,0.163559443,0.800256391
HP0823,0.013805819,0.699640615
HP0824,0.005607985,0.440044107
HP0825,0.002344648,0.468305152
HP0826,0.002034867,1.65103965
HP0827,0.986582761,0.993702813
HP0828,0.001466229,0.571761497
HP0829,8.46079E-06,0.529254551
HP0830,1.2709E-06,0.490346474
HP0831,0.229424082,0.811773822
HP0832,0.00157027,0.59542859
HP0833,0.000173456,1.677171685
HP0834,0.810641364,0.959178025
HP0835,0.171132316,0.603477664
HP0836,0.39071967,1.178703111
HP0837,0.00671977,0.618546495
HP0838,0.063033342,0.756784472
HP0839,0.41017782,1.152253645
HP0840,0.508429769,1.135524347
HP0841,0.049943367,1.628263064
HP0842,0.367733322,1.457840238
HP0843,0.006787075,1.666939843
HP0844,0.007848672,1.559852014
HP0845,0.178881152,1.267735835
HP0846,0.585939797,1.490434024
HP0847,0.630283657,0.678595528
HP0848,0.276250538,1.21532185
HP0849,0.001717646,0.636380816
HP0850,0.06972932,0.774075539
HP0851,0.462714844,0.890616262
HP0852,0.001785459,0.640972537
HP0853,1.86377E-06,0.525213719
HP0854,2.28498E-05,2.11360672
HP0855,0.93650138,1.028573284
HP0856,0.438804981,0.862228449
HP0857,0.008031765,0.622157677
HP0858,0.000241006,0.598897928
HP0859,8.46588E-05,0.577721594
HP0860,0.313008379,0.814125472
HP0861,0.965778215,0.989946786
HP0862,0.247517329,1.205637534
HP0863,0.005455298,0.647836004
HP0864,0.000506429,0.558631357
HP0865,7.58141E-06,0.45912988
HP0866,0.000179182,0.523147921
HP0867,9.45841E-07,2.137970511
HP0868,0.00143083,1.616202972
HP0869,0.018831202,1.532751967
HP0870,1.41754E-17,0.087817354
HP0871,2.92959E-52,0.057827784
HP0872,0.935664174,0.982107957
HP0873,0.61594006,0.832896928
HP0874,0.134718227,0.715101513
HP0875,0.437134708,0.796379945
HP0876,2.5486E-20,0.199713384
HP0877,6.42557E-05,0.571507396
HP0878,0.020529235,0.701629481
HP0879,0.437515356,0.858989057
HP0880,0.050868781,1.337842258
HP0881,0.066104771,1.540505949
HP0883,0.4054485,1.155008331
HP0884,0.255524202,1.186611941
HP0885,0.0353018,1.673876913
HP0886,0.192580776,0.811693317
HP0887,8.22643E-44,0.022144004
HP0888,0.007887443,1.470615266
HP0889,0.000162005,1.73739964
HP0890,1.04502E-08,2.326748601
HP0891,0.006649687,0.515628087
HP0892,0.029644347,0.675095605
HP0893,4.21767E-12,0.301633497
HP0894,0.481854272,0.893335282
HP0895,5.92239E-05,0.559035912
HP0896,6.37866E-07,0.421454571
HP0897,0.000414099,1.837525695
HP0898,0.011966086,1.577745463
HP0899,0.40703416,1.17800184
HP0900,0.598490544,1.12409893
HP0901,5.31367E-05,2.051492874
HP0902,8.21138E-07,2.422707391
HP0903,0.669500379,0.832696135
HP0904,0.015761739,0.652091113
HP0905,2.05617E-08,0.409264975
HP0906,0.484355134,0.541853202
HP0907,0.10935679,1.25995846
HP0908,0.208982719,1.190328259
HP0909,0.990053115,1.002488775
HP0910,0.071612133,1.411286708
HP0911,0.05061591,1.687614971
HP0912,8.55583E-06,0.442725603
HP0913,5.90965E-06,0.454551127
HP0914,3.8349E-12,0.347780389
HP0915,3.66789E-05,0.462188265
HP0916,1.22522E-05,0.500205727
HP0917,0.872797501,1.030007886
HP0918,0.001925843,0.645925688
HP0919,7.48127E-13,0.378270431
HP0920,0.000166851,0.412985394
HP0921,0.438804981,1.136923115
HP0922,1.23314E-08,3.289870395
HP0923,0.238453681,1.216094746
HP0924,0.785695875,0.915454018
HP0925,0.585881943,1.122196755
HP0926,0.830370362,0.940718667
HP0927,3.24328E-10,0.421675169
HP0928,1.13716E-07,0.453868279
HP0929,8.46079E-06,1.967642981
HP0930,0.237569998,0.807471158
HP0931,1,1.000065451
HP0932,0.925087124,1.022079111
HP0933,0.002888584,1.544868943
HP0934,7.5064E-05,2.19966074
HP0935,6.0326E-05,1.974863309
HP0936,0.238026827,1.319620276
HP0937,0.020271752,1.406463786
HP0938,0.030387985,1.442055637
HP0939,0.039899507,1.697584356
HP0940,0.04098033,1.367798192
HP0941,0.105807493,0.728064815
HP0942,3.78508E-12,0.416534252
HP0943,2.5014E-11,0.380184982
HP0944,7.19204E-11,0.327163947
HP0945,0.896488964,1.082039024
HP0946,0.000287591,0.561730942
HP0947,0.017767004,0.536679994
HP0948,0.959261102,0.988723718
HP0949,0.000652156,1.643342016
HP0950,0.113085556,1.317817174
HP0951,2.83359E-07,2.26415561
HP0952,0.067848085,1.316557534
HP0953,0.558952794,0.8878997
HP0954,0.265258393,0.806898748
HP0955,0.050821044,0.7423156
HP0956,0.001802306,0.571225637
HP0957,0.129343741,0.789717008
HP0958,0.013805819,0.642900321
HP0959,0.012972095,1.44109103
HP0960,0.109680536,1.276410949
HP0961,0.30584706,1.19825569
HP0962,0.05370721,2.330088432
HP0963,0.184902237,1.608630667
HP0964,0.962716549,1.01547041
HP0965,0.261299623,0.804917327
HP0966,0.194829707,0.789050967
HP0967,0.001221556,1.765291815
HP0968,0.400493781,1.178372716
HP0969,0.060242138,1.482249109
HP0970,0.02886673,1.565837048
HP0971,0.000149775,1.969007353
HP0972,1.24423E-05,1.769019461
HP0973,0.015959194,0.66743915
HP0974,0.55688905,1.096090285
HP0975,0.61594006,0.905246361
HP0976,0.481593578,0.871324306
HP0977,0.150686918,1.253356448
HP0978,0.216556187,0.817040426
HP0979,0.307208856,0.822573437
HP0980,0.696155248,0.884385014
HP0981,0.485103807,0.684716736
HP0982,0.20386927,1.26362018
HP0983,3.09048E-05,0.516384569
HP0984,0.020698879,0.661238658
HP0985,0.669979646,0.923238308
HP0986,2.16886E-06,2.100935393
HP0987,2.52438E-19,7.116076046
HP0988,0.830370362,1.058107817
HP0989,0.000334342,1.86430289
HP0990,0.001335106,0.540324787
HP0991,0.00017123,0.51771808
HP0992,0.004729495,0.301482035
HP0993,0.829989948,1.03894646
HP0994,0.544946783,0.900798771
HP0995,0.831647581,1.086909413
HP0996,9.41137E-36,0.156205555
HP0997,0.248701167,1.234732256
HP0998,0.830370362,1.058107817
HP0999,0.005885246,1.548128726
HP1000,0.110492316,0.647810388
HP1001,3.39046E-05,0.50208012
HP1002,0.002038994,0.658504391
HP1003,0.534710503,1.275386857
HP1004,5.2715E-05,2.417026601
HP1005,0.294795243,0.797604151
HP1006,0.012607464,1.526194145
HP1007,7.32842E-09,2.251414568
HP1008,2.83359E-07,2.252631743
HP1009,8.41933E-05,2.652893051
HP1010,0.027579337,0.695078032
HP1011,0.010066316,0.672309837
HP1012,0.757175764,0.941011851
HP1013,0.222277343,1.193096483
HP1014,0.788987773,1.053559047
HP1015,0.1661424,1.261392396
HP1016,2.38837E-05,2.166481274
HP1017,0.880095023,1.027614186
HP1018,1.43039E-08,2.404480153
HP1019,0.112313978,1.345541628
HP1020,1.45835E-05,2.133396171
HP1021,9.32665E-06,2.079563209
HP1022,3.40563E-06,2.046268267
HP1023,0.039375257,1.382367268
HP1024,1.6572E-12,0.365255355
HP1025,4.58575E-06,0.519417698
HP1026,0.508429769,1.152661955
HP1027,2.30739E-44,0.083972135
HP1028,0.852248612,0.965483647
HP1029,0.206669935,1.219252419
HP1030,0.002015015,1.56951233
HP1031,1.23239E-05,2.033411814
HP1032,0.000377224,1.688476801
HP1033,0.011693144,1.46640705
HP1034,0.089291421,1.330095222
HP1035,0.24165588,0.833471172
HP1036,0.002144414,0.581822632
HP1037,0.001150052,0.565036852
HP1038,0.000257852,0.458533895
HP1039,0.965832878,1.009742929
HP1040,0.415279322,1.286083274
HP1041,1.25084E-05,1.88134586
HP1042,0.844557659,0.963871218
HP1043,0.610661689,0.900495855
HP1044,0.000935019,0.5566352
HP1045,4.59147E-05,0.49569356
HP1046,0.195244306,1.260457045
HP1047,0.027579337,1.494183422
HP1048,0.002078872,1.653896092
HP1049,1.40231E-06,2.32930792
HP1050,1.13716E-07,2.524517163
HP1051,0.4054485,0.848700111
HP1052,0.052097251,0.701773182
HP1053,0.243047793,0.819634417
HP1054,0.494553436,1.194128125
HP1055,0.925087124,1.023336493
HP1056,0.019452498,1.539027942
HP1057,0.127908873,1.297368267
HP1058,4.5342E-05,0.539866453
HP1059,0.595265046,1.09045881
HP1060,3.88412E-05,1.982559377
HP1061,5.22251E-06,2.006651292
HP1062,0.000160719,2.563660037
HP1063,0.011524655,2.433494698
HP1064,0.960155478,1.017375507
HP1065,0.402392087,1.162118304
HP1066,7.80366E-15,3.086430641
HP1067,0.050879445,1.432054024
HP1068,0.004264634,1.517749602
HP1069,0.026859827,1.489656443
HP1070,0.114653176,1.318102761
HP1071,0.002391638,1.555993577
HP1072,0.124046851,1.307383717
HP1073,0.058506954,0.675441366
HP1074,0.634852528,0.907648384
HP1075,0.000402015,1.725519305
HP1076,0.062802556,0.522597765
HP1077,1.23011E-05,0.508589409
HP1078,0.036967654,1.48411372
HP1079,0.073837015,1.306840337
HP1080,0.016474962,1.992789896
HP1081,0.042622276,2.065230359
HP1082,0.024473866,1.444915249
HP1083,7.44043E-50,0.083182063
HP1084,0.000475283,0.581064835
HP1085,1.39411E-15,3.045095118
HP1086,0.098703262,1.94353875
HP1087,0.312870169,1.453765565
HP1088,0.5388187,0.905762271
HP1089,0.034941755,1.396134255
HP1090,0.659450907,1.100851633
HP1091,0.00155836,0.574401414
HP1092,0.001821655,1.683136971
HP1093,0.83894183,0.933175184
HP1094,0.00015496,0.515059273
HP1095,0.248701167,1.234732256
HP1096,0.830370362,1.058107817
HP1097,0.405047437,0.677816811
HP1098,2.86676E-05,0.497211514
HP1099,7.32842E-09,0.423469106
HP1100,1.25482E-11,0.39143805
HP1101,0.003808237,0.68319835
HP1102,5.59836E-07,0.526630441
HP1103,2.90407E-05,0.577360177
HP1104,0.001466229,1.754267828
HP1105,8.95699E-06,1.959887487
HP1106,4.55401E-08,2.269868112
HP1107,0.860036504,0.962000321
HP1108,0.737134987,0.931515579
HP1109,0.397767849,0.829633387
HP1110,0.75056451,0.93430033
HP1111,0.790402437,0.942499564
HP1112,0.732266434,1.058640281
HP1113,0.000899293,1.607092546
HP1114,0.004909294,1.5113838
HP1115,0.214462958,1.856383362
HP1116,0.04486661,1.744389281
HP1117,0.228049475,0.790308827
HP1118,0.001387277,0.569731977
HP1119,0.128080401,0.515881953
HP1120,0.001332518,0.334269038
HP1121,0.737134987,1.102802195
HP1122,0.122764452,1.332495463
HP1123,0.986582761,1.004091404
HP1124,0.935008587,0.980437011
HP1125,0.3609258,0.785776135
HP1126,8.41311E-05,0.559728388
HP1127,0.054719693,1.354651006
HP1128,0.938342145,0.981660397
HP1129,0.262953456,0.808002945
HP1130,0.009578083,0.630117339
HP1131,0.007727709,0.619757246
HP1132,0.000216215,0.523653305
HP1133,0.000484796,0.542984897
HP1134,1.02178E-05,0.463059395
HP1135,0.027976997,0.68209505
HP1136,0.062175484,0.711274964
HP1137,0.640170164,0.908002784
HP1138,0.868549355,1.036621115
HP1139,0.459681716,1.157449499
HP1140,0.000313658,2.049897841
HP1141,0.770400106,1.055524078
HP1142,0.114982701,0.727084789
HP1143,0.002426079,0.436705298
HP1144,0.003292959,1.542721689
HP1145,0.091244408,1.363455024
HP1146,0.830370362,1.047238526
HP1147,0.901053441,0.959149437
HP1148,0.037298721,1.489325003
HP1149,0.031498409,1.426777203
HP1150,0.961478328,0.987120127
HP1151,0.78438451,1.064006458
HP1152,0.204370275,0.834279486
HP1153,0.645293893,0.925918129
HP1154,0.007858716,1.580637105
HP1155,0.040008393,1.354516561
HP1156,0.166092256,0.820094063
HP1157,0.15079093,0.814194215
HP1158,0.478281129,0.897492561
HP1159,0.001196134,1.647773548
HP1160,0.344931331,1.175757229
HP1161,0.554177807,0.703390239
HP1162,0.77813517,0.949738398
HP1163,5.79305E-06,2.390295176
HP1164,0.194578269,0.789406466
HP1165,0.079966558,1.336016088
HP1166,0.001723003,1.53167229
HP1167,3.72193E-37,0.126690425
HP1168,8.01626E-46,0.116469693
HP1169,1.78378E-08,2.811242339
HP1170,1.654E-05,2.408016505
HP1171,0.000225365,1.771095766
HP1172,0.201100459,1.276428869
HP1173,0.859077666,1.041936052
HP1174,5.00934E-38,0.177312025
HP1175,7.09406E-29,0.242244884
HP1176,0.00029794,0.599338438
HP1177,6.15306E-45,0.062513165
HP1178,8.18327E-23,0.268664276
HP1179,5.45201E-24,0.259140995
HP1180,2.5015E-17,0.30703776
HP1181,0.001316193,1.687666027
HP1182,4.8961E-07,0.445814898
HP1183,0.416386253,0.877970621
HP1184,0.029099838,1.530760824
HP1185,0.006649687,1.579200181
HP1186,2.2579E-46,0.091397167
HP1187,1.79076E-18,4.624293014
HP1188,1.32188E-12,2.997651774
HP1189,0.270820679,0.832515203
HP1190,0.087342244,0.768740955
HP1191,0.005580329,1.609441211
HP1192,0.252469724,2.256938737
HP1193,0.002249868,0.595967765
HP1194,0.791036646,1.056145848
HP1195,0.123334802,0.747673189
HP1196,0.360139632,0.788710923
HP1197,0.747699721,0.917654126
HP1198,0.479040074,0.869503969
HP1199,0.652326372,0.849849012
HP1200,0.698157157,0.861955303
HP1201,0.683946426,0.883715057
HP1202,0.459545646,0.825681313
HP1203,0.825518203,1.067460146
HP1204,0.42802316,0.589792744
HP1205,0.327883067,0.659555044
HP1206,0.583589076,0.87919988
HP1207,0.030296074,1.354675413
HP1208,0.669500379,1.074598902
HP1209,0.731809195,0.929135221
HP1210,5.7043E-05,0.491864547
HP1211,1.91135E-12,0.159544652
HP1212,6.62737E-07,0.25541954
HP1213,0.009422581,0.682935825
HP1214,8.66204E-09,2.222129554
HP1215,0.034941755,1.935642933
HP1216,0.940427446,1.024618896
HP1217,0.40703416,0.878762778
HP1218,0.868914868,1.032172882
HP1219,0.883662369,1.073918236
HP1220,1.05862E-11,2.954701256
HP1221,1.4891E-09,2.78812194
HP1222,6.03043E-09,2.559287366
HP1223,0.019486436,0.656952292
HP1224,0.762105501,1.058163063
HP1225,5.24253E-06,2.036438511
HP1226,0.052939268,1.643375646
HP1227,0.070326636,1.927745662
HP1228,0.000231953,1.766329267
HP1229,0.614049666,0.919452967
HP1230,0.395068048,0.876029079
HP1231,0.022728848,1.86842845
HP1232,0.019608548,1.667749522
HP1233,0.004479156,0.589183139
HP1234,8.48759E-06,2.035051479
HP1235,0.000148228,2.79239097
HP1236,0.004640247,0.663651348
HP1237,0.196174989,0.830006617
HP1238,1.20237E-13,3.57387866
HP1239,0.181504207,0.681311642
HP1240,2.5835E-05,0.559687348
HP1241,2.21221E-13,0.377985325
HP1242,0.291228271,0.745704803
HP1243,1.16058E-06,0.430705769
HP1244,0.843766257,1.048996813
HP1245,0.817307547,1.062310916
HP1246,0.945382997,0.978324084
HP1247,0.91986958,0.974666435
HP1248,0.033409072,1.916478139
HP1249,1.12611E-06,2.051616653
HP1250,4.63692E-05,1.796444216
HP1251,0.001522466,1.563065619
HP1252,0.017846599,1.434589249
HP1253,0.480235607,1.121203969
HP1254,6.16783E-12,2.808779093
HP1255,0.0238375,1.496824128
HP1256,0.360139632,0.83890374
HP1257,0.934809675,0.980924041
HP1258,3.09048E-05,1.813551373
HP1259,0.005570544,1.557892188
HP1260,0.260232446,1.236375509
HP1261,0.137338179,1.318673668
HP1262,0.819061,1.050662178
HP1263,0.117390999,1.323123791
HP1264,0.767797198,1.065374503
HP1265,0.000272259,1.676468692
HP1266,0.630625264,1.097210175
HP1267,0.211858308,0.802887064
HP1268,0.052828748,0.703952285
HP1269,0.245217098,0.808763176
HP1270,0.235710677,0.799784988
HP1271,0.500217375,0.880674024
HP1272,0.385724777,0.863189079
HP1273,0.197101738,0.821882783
HP1274,0.009900575,1.565845229
HP1275,0.290449616,0.852300072
HP1276,9.67955E-14,0.333277788
HP1277,0.976850133,1.005811021
HP1278,0.091080292,1.297482808
HP1279,0.025270131,1.535747773
HP1280,0.006087955,1.773563459
HP1281,0.002864741,1.608930352
HP1282,7.17476E-08,2.90079357
HP1283,0.691064802,0.922556435
HP1284,0.041228154,0.751929442
HP1285,0.000493804,0.544006874
HP1286,0.522061575,1.208227826
HP1287,0.462432281,1.150870115
HP1288,7.95733E-31,0.130823524
HP1289,8.32988E-23,0.227109817
HP1290,1.89602E-44,0.119406361
HP1291,2.16364E-13,0.177248557
HP1292,0.478316078,0.798982498
HP1293,0.86408224,0.955877716
HP1294,0.344931331,0.801942377
HP1295,0.759374458,0.90999065
HP1296,0.770400106,0.91404302
HP1297,0.175123368,1.293253108
HP1298,0.976850133,1.009678482
HP1299,0.691064802,1.088402262
HP1300,0.210520749,0.788625047
HP1301,0.001711575,0.574127906
HP1302,0.029222906,0.610367602
HP1303,0.021520792,0.603567877
HP1304,0.009920245,0.628262602
HP1305,0.002872814,0.579435415
HP1306,0.053272737,0.546467606
HP1307,0.000815275,0.549398404
HP1308,0.039625844,0.514731303
HP1309,0.000967618,0.525569071
HP1310,0.011696833,0.54330962
HP1311,0.000815275,0.518547177
HP1312,0.000452278,0.520267815
HP1313,0.000260375,0.525477426
HP1314,0.003841466,0.519586591
HP1315,4.30089E-05,0.486158201
HP1316,7.3552E-05,0.499307449
HP1317,0.000216215,0.499783118
HP1318,0.001002567,0.557657119
HP1319,0.002982909,0.590835429
HP1320,0.299732185,0.764713443
HP1321,0.844927983,1.067447665
HP1322,8.76528E-07,2.026891918
HP1323,0.000676013,0.552193717
HP1324,0.001590634,0.559789315
HP1325,2.35526E-06,0.443721663
HP1326,5.8863E-06,2.008528761
HP1327,0.109420967,1.54496058
HP1328,0.114250803,1.717174922
HP1329,0.096055824,1.655420268
HP1330,4.78186E-12,4.230861102
HP1331,9.57884E-10,2.47990071
HP1332,1.88879E-13,3.290288349
HP1333,0.10142972,0.707124983
HP1334,0.153755533,0.505499624
HP1335,0.582827198,1.113878136
HP1336,2.45322E-12,2.665276491
HP1337,0.000166796,1.751762597
HP1338,4.73011E-08,2.298208902
HP1339,0.836657223,1.057891793
HP1340,0.73615388,1.074263152
HP1341,0.129036993,1.320497783
HP1342,0.001717648,1.592169903
HP1343,0.090931135,1.280512245
HP1344,0.031353493,0.740959486
HP1345,6.97983E-05,0.534927967
HP1346,0.737134987,0.946876757
HP1347,0.450946041,1.383935782
HP1348,0.044859445,1.542907279
HP1349,0.193934981,1.219531135
HP1350,0.660460573,0.912959687
HP1351,0.030224548,0.729836801
HP1352,0.256523728,0.840398633
HP1353,0.483360892,1.316597162
HP1354,0.207165185,0.809267615
HP1355,0.868549355,0.972048116
HP1356,0.417831868,1.154246974
HP1357,0.843766257,1.042452986
HP1358,0.801961198,1.045463894
HP1359,0.843766257,1.035475934
HP1360,0.377068506,1.14969712
HP1361,0.018264667,1.671100205
HP1362,0.721240454,0.941632192
HP1363,0.010983123,1.574480743
HP1364,0.004913935,2.065626809
HP1365,1.93458E-08,2.128870457
HP1366,0.009471317,1.636546191
HP1367,0.600991194,1.200527551
HP1368,0.618941829,1.105702777
HP1369,0.171132316,0.826914555
HP1370,0.274117132,1.306154064
HP1371,0.897529243,1.065347854
HP1372,0.008651642,1.427328652
HP1373,0.413592443,0.864104933
HP1374,0.026106091,0.679391696
HP1375,0.051952967,0.716611517
HP1376,0.151334052,0.769027157
HP1377,0.004339508,1.655917311
HP1378,0.727719913,0.933235517
HP1379,0.821360219,1.044497814
HP1380,8.41933E-05,1.888715876
HP1381,5.26386E-12,2.77652618
HP1382,0.007817723,1.65334888
HP1383,0.809057932,0.96109196
HP1384,0.440101998,0.884052784
HP1385,0.417958667,0.87066852
HP1386,7.9294E-09,2.160792028
HP1387,0.000153693,1.684311195
HP1388,0.233385239,0.817001067
HP1389,0.307649758,0.821723624
HP1390,0.153747196,0.738295605
HP1391,0.201025812,0.800436222
HP1392,0.054243293,1.73663811
HP1393,0.165763454,1.363942723
HP1394,0.000730292,1.712923545
HP1395,1.10545E-29,0.160909066
HP1396,0.830370362,1.036538337
HP1397,0.253807618,0.821733223
HP1398,8.10132E-27,0.17806382
HP1399,7.05694E-35,0.109248916
HP1400,0.395862248,0.843939527
HP1401,0.003240994,1.519093796
HP1402,0.417958667,1.127104938
HP1403,0.075889841,0.762255247
HP1404,0.541606772,0.890846835
HP1405,4.23054E-05,1.739731926
HP1406,0.205814273,1.216843815
HP1407,0.000116811,1.751405301
HP1408,0.129342381,1.256017232
HP1409,0.61594006,0.862285544
HP1410,1,0.999980885
HP1411,0.635418007,1.143998784
HP1412,0.166112085,1.254094182
HP1413,0.020261167,0.720802175
HP1414,0.074506184,0.760475134
HP1415,0.986582761,0.996127731
HP1416,0.178881152,1.322819312
HP1417,0.191994279,0.798645585
HP1418,0.089262197,1.407780466
HP1419,0.965778215,0.990732685
HP1420,7.25519E-05,1.911394804
HP1421,0.001744372,1.545207351
HP1422,0.255065525,0.820989159
HP1423,0.245518069,1.25254416
HP1424,0.114002268,1.318407712
HP1425,0.181504207,1.285335442
HP1426,8.05438E-09,0.474821546
HP1427,0.241962392,0.416787394
HP1428,8.79467E-10,2.527230175
HP1429,0.000117818,1.811213832
HP1430,0.04427765,1.423854428
HP1431,3.46803E-09,2.797541627
HP1432,0.000407354,10.65764929
HP1433,3.03599E-05,1.850216374
HP1434,0.39071967,1.139306886
HP1435,0.062512358,1.337510128
HP1436,8.48823E-08,2.14464129
HP1437,0.585548839,1.239203484
HP1438,0.737426742,1.172891111
HP1439,0.286759699,1.174936766
HP1440,0.683268721,1.095753464
HP1441,0.78438451,1.06022517
HP1442,0.506094391,1.1411899
HP1443,0.001717646,1.57204378
HP1444,0.971381377,1.009416327
HP1445,0.031291795,0.67545577
HP1446,0.038118569,0.675863728
HP1447,0.438268316,0.880683417
HP1448,0.336313357,0.857143962
HP1449,0.384060268,1.160243766
HP1450,0.002282298,0.634667248
HP1451,5.2715E-05,0.54956729
HP1452,0.872797501,1.035155076
HP1453,0.000245478,0.530185985
HP1454,0.582827198,1.133102336
HP1455,0.979823889,0.992585965
HP1456,0.637829538,0.886425879
HP1457,0.491745908,1.146362769
HP1458,4.48964E-06,0.343936271
HP1459,0.145460453,1.271295434
HP1460,0.536766567,0.899092659
HP1461,1.84101E-06,2.04033478
HP1462,0.035332274,1.464888947
HP1463,0.640325588,1.09497982
HP1464,0.412666554,1.162395476
HP1465,3.68862E-05,1.921733289
HP1466,1.25804E-06,2.186328425
HP1467,0.479688201,1.145023144
HP1468,0.082098047,0.741399205
HP1469,3.76035E-10,0.33773637
HP1470,0.485103807,0.8986514
HP1471,0.788637213,1.067714324
HP1472,0.717056308,1.075740266
HP1473,0.005552006,1.960255427
HP1474,0.283266858,1.27123313
HP1475,0.625960917,1.117176954
HP1476,0.399568154,0.872478872
HP1477,0.018414546,1.809332549
HP1478,0.000464016,1.89407062
HP1479,0.000955598,1.733856581
HP1480,0.008305862,1.523408312
HP1481,0.103795277,1.314056928
HP1482,0.733306913,1.058157217
HP1483,0.803767744,1.050432714
HP1484,0.788637213,0.945346642
HP1485,0.005425214,1.853549322
HP1486,0.004617637,1.792701066
HP1487,0.123259678,1.290043338
HP1488,0.986582761,0.996739529
HP1489,0.330022422,1.164261337
HP1490,0.003552387,1.512193853
HP1491,0.083760701,1.285362173
HP1492,4.82202E-07,2.217697521
HP1493,9.28114E-11,2.57968992
HP1494,6.63492E-07,2.094924826
HP1495,0.052404607,1.321497626
HP1496,0.494553436,0.864683069
HP1497,0.058058669,1.352069649
HP1498,0.000174768,2.139968379
HP1499,2.33881E-20,5.165225561
HP1500,3.00088E-10,0.26274712
HP1501,5.84579E-12,0.299408864
HP1502,0.935664174,0.98018063
HP1503,0.294988187,0.79712577
HP1504,0.03697383,1.363453403
HP1505,0.233279404,0.789028588
HP1506,1.0011E-05,0.532112612
HP1507,0.006227285,1.627693031
HP1508,0.000252035,1.659532075
HP1509,0.032794994,0.738195005
HP1510,0.429052273,0.867858646
HP1511,8.67266E-06,2.003804477
HP1512,4.11065E-11,0.296148302
HP1513,4.58197E-05,0.565513861
HP1514,0.001096036,0.591393809
HP1515,0.833135044,1.051222898
HP1516,0.494553436,0.877233551
HP1517,0.578493748,0.900841997
HP1518,0.034941755,0.741635368
HP1519,0.344931331,1.64446247
HP1520,0.672194394,1.124128228
HP1521,0.504401408,1.500611304
HP1522,0.31425687,0.849100785
HP1523,6.63127E-05,2.911712461
HP1524,0.197715157,0.785834639
HP1525,0.093885887,1.355523798
HP1526,2.25539E-12,0.323011486
HP1527,4.10737E-48,0.10025148
HP1528,0.001792284,18.50257701
HP1529,0.02200881,1.519514355
HP1530,0.508429769,0.891070546
HP1531,0.077679692,0.767426931
HP1532,0.038619649,0.749264382
HP1533,0.511181074,1.107270018
HP1534,0.000334342,1.86430289
HP1535,0.830370362,1.058107817
HP1536,0.810641364,0.816007011
HP1537,0.587123563,1.111938515
HP1538,0.916332898,0.975455009
HP1539,0.454255264,0.86331897
HP1540,0.611409832,1.118199628
HP1541,0.344827454,1.190793487
HP1542,0.000930848,0.610124849
HP1543,0.000641304,1.605162901
HP1544,8.85426E-05,1.947197379
HP1545,7.27607E-06,2.372271059
HP1546,6.54446E-08,2.094893718
HP1547,0.174364749,1.264509856
HP1548,0.751652253,1.069818541
HP1549,0.215017612,1.246229106
HP1550,0.03449493,0.724975026
HP1551,5.7698E-05,0.496110229
HP1552,0.036294587,0.749626558
HP1553,0.556608878,1.102236933
HP1554,0.843336211,1.053256287
HP1555,0.595265046,1.114879595
HP1556,0.677866316,0.916884734
HP1557,0.235051001,0.751512638
HP1558,0.645293893,0.910622338
HP1559,0.97113844,0.990636348
HP1560,0.003483071,0.653469605
HP1561,1.65213E-11,0.31418033
HP1562,0.000105742,0.497390123
HP1563,0.014101657,0.273388153
HP1564,1.90835E-15,0.252210735
HP1565,0.925087124,1.037838874
HP1566,0.022362602,2.524699118
HP1567,0.00010519,2.160765493
HP1568,1.59965E-05,1.885188748
HP1569,9.86756E-07,2.034960692
HP1570,9.76107E-08,2.360396642
HP1571,3.97671E-10,2.522457811
HP1572,3.11245E-15,3.126534582
HP1573,0.205814273,1.217331852
HP1574,9.24537E-05,0.519495952
HP1575,0.067570114,0.718078135
HP1576,0.468752817,1.127940163
HP1577,0.062368397,1.327207231
HP1578,0.113243122,0.801015618
HP1579,7.54785E-08,2.229166679
HP1580,8.27728E-08,2.001207635
HP1581,0.002344648,1.551093598
HP1582,2.33159E-12,0.299920293
HP1583,4.96731E-06,0.481975643
HP1584,0.260232446,1.257839114
HP1585,0.021990166,1.511531145
HP1586,0.000853691,1.803531229
HP1587,0.001867198,1.732047599
HP1588,1.02406E-05,0.410088981
HP1589,0.079500307,1.868915887
HP1590,0.000107161,0.484238973
